CODIGOLINHA,SENT,ITINERARIO
182,IDA,15133
822,IDA,992
822,VOLTA,991
829,CIRCULAR,1009
817,IDA,13294
817,VOLTA,13294
816,VOLTA,6401
816,IDA,6401
916,IDA,11173
812,VOLTA,12834
812,IDA,12833
876,IDA,1024
876,VOLTA,1023
870,IDA,1019
870,VOLTA,1019
924,VOLTA,5982
225,VOLTA,14933
225,IDA,14953
231,IDA,1949
231,VOLTA,1948
182,VOLTA,8661
233,CIRCULAR,585
232,IDA,584
243,VOLTA,591
236,IDA,1821
236,VOLTA,586
226,VOLTA,14935
226,IDA,14934
342,IDA,649
342,VOLTA,649
924,IDA,5982
216,VOLTA,559
216,IDA,558
20,CIRCULAR,15214
21,CIRCULAR,15241
30,IDA,15416
10,CIRCULAR,481
11,CIRCULAR,4382
30,VOLTA,15414
371,VOLTA,662
371,IDA,662
827,IDA,1005
827,VOLTA,1006
171,VOLTA,8655
207,VOLTA,8666
207,IDA,8677
170,IDA,8653
170,VOLTA,8673
171,IDA,8654
160,IDA,13513
243,IDA,591
372,IDA,15235
372,VOLTA,15215
183,VOLTA,14853
183,IDA,14853
373,VOLTA,15238
373,IDA,15237
205,IDA,538
205,VOLTA,539
979,CIRCULAR,10253
385,IDA,674
385,VOLTA,675
275,IDA,12893
365,IDA,656
365,VOLTA,657
166,VOLTA,8617
250,VOLTA,14457
250,IDA,14453
203,VOLTA,5562
203,IDA,5561
350,VOLTA,12174
350,IDA,12156
211,IDA,549
211,VOLTA,12714
374,IDA,12713
232,VOLTA,584
374,VOLTA,12154
242,IDA,588
242,VOLTA,589
916,VOLTA,11194
160,VOLTA,13513
176,VOLTA,14876
176,IDA,14875
175,IDA,8656
175,VOLTA,8657
168,VOLTA,509
168,IDA,509
832,IDA,14175
832,VOLTA,14175
164,VOLTA,8613
169,IDA,8634
169,VOLTA,8635
166,IDA,8616
375,VOLTA,15216
375,IDA,15236
184,VOLTA,8664
212,IDA,551
212,VOLTA,550
875,IDA,1021
875,VOLTA,1022
366,VOLTA,658
366,IDA,1722
214,IDA,13213
280,VOLTA,608
266,IDA,14339
266,VOLTA,598
274,IDA,607
274,VOLTA,606
164,IDA,8613
275,VOLTA,12893
