COD,REFRESH,LAT_IN_TIME,LON_IN_TIME,CODIGOLINHA,ADAPT,TIPO_VEIC,TABELA,SITUACAO,SITUACAO2,SENT,TCOUNT,SENTIDO_IN_TIME,HORA,FLAG_PROCES,PARADA_MAIS_PROXIMA,DISTANCIA_MINIMA,SEQ,SEQ_MAX,ITINERARIO,cep,nome_rua,nome_bairro
BC010,16:23,-25.382566,-49.288068,171,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1,234-BAIRRO PRIMAVERA (16:26),2024-10-23 16:23:28,0,"Rua Domingos Antônio Moro, 886 - Pilarzinho",26.311335312285724,22,23,8655.0,82110-350,Rua Domingos Antônio Moro,Pilarzinho
GI852,16:23,-25.46991,-49.272365,662,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1,672-PRACA RUI BARBOSA (16:41),2024-10-23 16:23:28,0,"Rua Alagoas, 745 - Guaíra",93.76135317493964,14,29,13493.0,80630-150,Rua Alagoas,Guaíra
CI004,16:22,-25.439091,-49.236066,373,1,1,1,ATRASADO,REALIZANDO ROTA,VOLTA,1,806-TERMINAL BAIRRO ALTO (16:30),2024-10-23 16:23:28,0,"Av. Nossa Senhora da Penha, 266 - Cristo Rei",121.23137839743562,16,33,15238.0,80050-520,Rua Urbano Lopes,Cristo Rei
BI860,16:23,-25.430185,-49.271566,280,1,7,2,ADIANTADO,REALIZANDO ROTA,IDA,1,680-PRACA TIRADENTES (16:26),2024-10-23 16:23:28,0,"Rua Barão do Serro Azul, 217 - São Francisco",281.12487404948456,35,35,609.0,80020-060,Praça Tiradentes,Centro
BI893,16:21,-25.373775,-49.23521,280,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1,190-BAIRRO NSA.SRA.DE NAZARE (16:27),2024-10-23 16:23:28,0,"Rua José Antônio Leprevost, 974 - Santa Candida",15.381375115180775,30,32,608.0,82640-040,Rua José Antônio Leprevost,Santa Cândida
DC854,16:21,-25.470068,-49.207776,331,1,7,1,NO HORÁRIO,REALIZANDO ROTA,CIRCULAR,1,837-TERMINAL CENTENARIO (16:40),2024-10-23 16:23:28,0,Terminal Centenário - 331 - Mercúrio,107.24146800124412,14,14,11276.0,82960-180,Rua Engenheiro Benedito Mário da Silva,Cajuru
BI019,16:22,-25.390495,-49.24536,225,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1,810-TERMINAL BOA VISTA (16:25),2024-10-23 16:23:28,0,"Rua Nossa Senhora de Nazaré, 1211 - Boa Vista",62.97394449133627,13,15,14933.0,82560-040,Rua João Havro,Boa Vista
BI876,16:23,-25.392123,-49.225713,213,1,7,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1,268-BAIRRO SAO JOAO (16:30),2024-10-23 16:23:28,0,"Av. Prefeito Erasto Gaertner, 2419 - Bacacheri",83.31524179521342,7,18,12613.0,82600-360,Rua Achilles Stenghel,Bacacheri
BI881,16:23,-25.435215,-49.275635,385,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1,94-BAIRRO CRISTO REI (16:45),2024-10-23 16:23:28,0,"R. Visc. de Nacar, 1210 - Centro",332.60212003509105,19,19,674.0,80010-030,Rua Visconde de Nacar,Centro
BC304,16:23,-25.368205,-49.259538,245,1,3,2-2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1,1539-BAIRRO ANITA GARIBALDI (16:32),2024-10-23 16:23:28,0,inicializado,0.0,-1,-1,,82700-110,Avenida Anita Garibaldi,Barreirinha
