NOME,NUM,Latitude,Longitude,SEQ,GRUPO,SENTIDO,TIPO,ID_do_Itinerario,COD
"Av. Manoel Ribas, 531 - Mercês",110037,-25.422482678274,-49.284327553297,37,,Horário,Novo mobiliário,481,10
"Rua Augusto Stresser, 517 - Juvevê",130238,-25.41708345942,-49.256172509141,6,,Horário,Novo mobiliário,481,10
"Rua Chile, 821 - Rebouças",140051,-25.447454019728,-49.257707463789,18,,Horário,Novo mobiliário,481,10
"R. Dep. Mário de Barros, 1681 - Centro Cívico",120112,-25.411725747542,-49.270902069941,42,,Horário,Novo mobiliário,481,10
"R. Alm. Tamandaré, 272 - Alto da Rua Quinze",130268,-25.430344876301,-49.255575743551,10,,Horário,Novo mobiliário,481,10
"Rua Bento Viana, 307 - Água Verde",150232,-25.450112696017,-49.281852682209,26,,Horário,Novo mobiliário,481,10
"Av. Visc. de Guarapuava, 1692 - Centro",140204,-25.432681513162,-49.258593202776,39,,Horário,Novo mobiliário,2701,10
"R. Alm. Tamandaré, 1202 - Juvevê",130239,-25.421678616348,-49.254575830689,36,,Horário,Novo mobiliário,2701,10
"Rua Alberto Bolliger, 772 - Juvevê",130237,-25.415826729313,-49.259532069941,5,,Horário,Novo mobiliário,6481,10
"R. Prefeito Rosalvo G Mello Leitão, 101 - Centro Cívico",120113,-25.414183583213,-49.265916974491,2,,Horário,Novo mobiliário,481,10
"Rua Iapó, 579 - Rebouças",140186,-25.446212806029,-49.255276651329,15,,Horário,Novo mobiliário,481,10
"Praça Alfredo Anderson, 1 - Bigorrilho",180041,-25.43459297823,-49.290712449074,31,,Horário,Novo mobiliário,481,10
"R. Jacy Loureiro de Campos, 1 - Centro Cívico",120111,-25.415285181408,-49.270133906746,43,,Horário,Novo mobiliário,481,10
"Rua Dep. Mário de Barros, 772 - Juvevê",120115,-25.413442474774,-49.261645480986,4,,Horário,Novo mobiliário,481,10
"R. Baltazar Carrasco dos Reis, 467 - Rebouças",140184,-25.443681194399,-49.252649251709,13,,Horário,Chapéu chinês,481,10
"R. Ernâni Santiago de Oliveira, 212 - Centro Cívico",121012,-25.416483344292,-49.268804168619,1,,Horário,Novo mobiliário,481,10
"Av. Água Verde, 842 - Água Verde",150559,-25.452927585155,-49.279979067936,9,,Horário,Novo mobiliário,2701,10
"R. Júlia Wanderley, 621 - Mercês",190175,-25.424943323382,-49.291435480986,20,,Horário,Novo mobiliário,2701,10
"R. Tapajós, 607 - Mercês",110039,-25.417200592005,-49.280558658896,24,,Horário,Novo mobiliário,2701,10
"Rua Bento Viana, 487 - Água Verde",150233,-25.447695542992,-49.282909271164,12,,Horário,Novo mobiliário,2701,10
"Rua Chile, 2052 - Rebouças",150228,-25.45212,-49.26918,21,,Horário,Novo mobiliário,6481,10
"Rua Alm. Tamandaré, 1689 - Alto da Rua Quinze",130102,-25.418973713985,-49.254268746032,7,,Horário,Novo mobiliário,481,10
"Rua Chile, 1626 - Rebouças",150001,-25.45056406034,-49.265392069941,20,,Horário,Novo mobiliário,481,10
"R. Tapajós, 948- Bom Retiro",190176,-25.413928814884,-49.27970317791,40,,Horário,Novo mobiliário,481,10
"Rua Baltazar Carrasco dos Reis, 440 - Rebouças",140875,-25.444688097732,-49.255299616275,14,,Horário,Novo mobiliário,481,10
"Rua Tibagi, 960 - Rebouças",110040,-25.43661,-49.26094,40,,Horário,Novo mobiliário,2701,10
"R. Tapajós, 290 - Mercês",110038,-25.420162140919,-49.281326209822,23,,Horário,Novo mobiliário,2701,10
"Rua Bento Viana, 1166 - Batel",180141,-25.442111211044,-49.285420845404,14,,Horário,Novo mobiliário,2701,10
"R. Júlia Wanderley, 322 - Mercês",110036,-25.423430413535,-49.287646127345,36,,Horário,Novo mobiliário,6481,10
"Rua Bento Viana, 996 - Água Verde",150234,-25.444655634129,-49.284239796295,28,,Horário,Novo mobiliário,6481,10
"Rua Chile, 1164 - Rebouças",150052,-25.449009924282,-49.261531233788,19,,Horário,Novo mobiliário,6481,10
"R. Fernando Simas, 911 - Mercês",180140,-25.429615465966,-49.289655743551,33,,Horário,Novo mobiliário,481,10
"Rua Bento Viana, 76 - Água Verde",150231,-25.452546679672,-49.280763527613,25,,Horário,Novo mobiliário,481,10
"R. Cap. Souza Franco, 661 - Bigorrilho",180042,-25.432206677422,-49.292185860119,17,,Horário,Novo mobiliário,2701,10
"R. Carlos Pioli, 471 - Bom Retiro",120110,-25.410516984135,-49.276479387732,26,,Horário,Novo mobiliário,2701,10
"Av. Água Verde, 470 - Água Verde",150230,-25.453485781412,-49.275919766865,8,,Horário,Novo mobiliário,2701,10
"Rua Comendador Roseira, 416 - Prado Velho",140269,-25.450188827277,-49.255166442957,17,,Horário,Novo mobiliário,6481,10
"Av. Água Verde, 102 - Água Verde",150229,-25.45335527419,-49.272544023314,22,,Horário,Novo mobiliário,6481,10
"Rua Ernani Santiago de Oliveira, 99 - Centro Cívico",120707,-25.416731148041,-49.267704481546,29,,Horário,Novo mobiliário,2701,10
"Rua Fernando Simas, 1119 - Mercês",190832,-25.426269574212,-49.291281284041,19,,Horário,Sem demarcação,2701,10
"R. Teixeira Coelho, 382 - Batel",180040,-25.438600657133,-49.28881635582,15,,Horário,Novo mobiliário,2701,10
"Rua Dep. Mário de Barros, 1129 - Juvevê",120114,-25.412710335095,-49.26529842576,3,,Horário,Novo mobiliário,6481,10
"Rua Alm. Tamandaré, 727 - Alto da Rua XV",130267,-25.425727547473,-49.255047813492,9,,Horário,Novo mobiliário,481,10
"Rua Iapó, 842 - Prado Velho",140187,-25.449416367089,-49.254227813492,16,,Horário,Novo mobiliário,481,10
"Rua Ernani Santiago de Oliveira, 171 - Centro Cívico",120104,-25.41632,-49.26904,1,,Anti-horário,Novo mobiliário,482,11
"R. Francisco Rocha, 1711 - Bigorrilho",190174,-25.430959689249,-49.295817317791,17,,Anti-horário,Novo mobiliário,482,11
"Rua Conselheiro Dantas, 1520 - Água Verde",150715,-25.454366316417,-49.271165800764,48,,Anti-horário,Chapéu chinês,4382,11
"Rua Prof. Benedito N dos Santos, 42 - Centro Cívico",120706,-25.413776385812,-49.266247318092,18,,Anti-horário,Novo mobiliário,4382,11
"Rua Rockefeller, 1424 - Prado Velho",140265,-25.450261873841,-49.259898163195,52,,Anti-horário,Novo mobiliário,4382,11
"Rua Alferes Ângelo Sampaio, 1177 - Batel",180036,-25.442824460903,-49.282907143517,42,,Anti-horário,Novo mobiliário,4382,11
"R. José de Alencar, 361 - Alto da Rua Quinze",110027,-25.431270813559,-49.254113440476,6,,Anti-horário,Novo mobiliário,4382,11
"Av. Manoel Ribas, 898 - Mercês",110034,-25.422197325377,-49.288070641699,29,,Anti-horário,Novo mobiliário,4382,11
"Rua Imaculada Conceição, 631 - Prado Velho",140182,-25.44647,-49.25388,36,,Anti-Horário,Novo mobiliário,9473,11
